Format,AiM CSV File,,,,,,,,,,,,,,,,
Session,F.Corta Var6,,,,,,,,,,,,,,,,
Vehicle,Kosmic Rotax Junior,,,,,,,,,,,,,,,,
Racer,CS,,,,,,,,,,,,,,,,
Championship,RMC,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,
Date,"Sunday, December 15, 2024",,,,,,,,,,,,,,,,
Time,1:34 PM,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,
Duration,535.996,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,
Beacon Markers,62.774,117.713,171.05,224.169,276.63,329.063,381.672,434.819,489.525,535.996,,,,,,,
Segment Times,01:02.8,00:54.9,00:53.3,00:53.1,00:52.5,00:52.4,00:52.6,00:53.1,00:54.7,00:46.5,,,,,,,
,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Engine RPM,Water Temp,Exhaust Temp,GPS G Sum
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,rpm,C,C,g
,,,,,,,,,,,,,,,,,
1.3,38.5591,14,0.5576,-0.1171,1.2353,115.7529,28.8973,157.9365,1512.5,0.504,21.2368,45.51672076,10.0054108,4822.2832,8.2,0,0.5758
1.35,38.3439,14,0.5739,-0.1026,1.1842,117.1291,29.9352,157.9511,1507.5001,0.504,20.3861,45.51671828,10.00541677,4786.0669,8.2,0,0.5819
1.4,38.1304,14,0.585,-0.0909,1.1323,118.8716,30.693,157.9628,1503.3333,0.504,19.772,45.51671571,10.00542263,4827.3999,8.2,0,0.583
1.45,37.9111,14,0.5943,-0.0799,1.0904,120.618,31.3516,157.9775,1500,0.504,19.2454,45.51671308,10.00542842,4826.4502,8.2,0,0.5832
1.5,37.6687,14,0.5965,-0.0715,1.0884,122.3801,31.6132,158.0038,1500,0.504,18.9641,45.51671019,10.00543395,4799.5332,8.2,0,0.5787
1.55,37.5741,14,0.6115,-0.0617,1.082,123.9829,32.5612,158.033,1497.4999,0.504,18.3657,45.51670719,10.00543941,4807.7002,8.2,0,0.5896
1.6,37.5781,14,0.635,-0.0511,1.0727,125.4797,33.9668,158.0641,1493.3333,0.504,17.6076,45.51670412,10.00544482,4822.7002,8.2,0,0.6109
1.65,37.5574,14,0.6568,-0.0393,1.0556,127.0554,35.271,158.095,1489.1666,0.504,16.9472,45.516701,10.00545015,4802.7778,8.2,0,0.6338
1.7,37.4379,14,0.6715,-0.0231,1.0069,128.9465,36.1698,158.1248,1485,0.504,16.4735,45.51669762,10.00545513,4797,8.2,0,0.6636
1.75,37.3184,14,0.6862,-0.0068,0.9581,130.8377,37.0686,158.1547,1480.8333,0.504,16.0227,45.51669424,10.00546011,4799.1665,8.2,0,0.694
1.8,37.2698,14,0.6751,0.0128,0.9219,133.107,36.5582,158.1855,1475,0.504,16.2253,45.51669058,10.00546482,4808.1333,8.2,0,0.6972
1.85,37.2748,14,0.6654,0.0341,0.8953,135.2856,36.1029,158.2209,1469.1666,0.504,16.4321,45.51668682,10.00546941,4823.4263,8.2,0,0.697
1.9,37.4225,14,0.6871,0.0594,0.8944,136.7231,37.277,158.2745,1465,0.504,15.9776,45.51668296,10.00547377,4810.3115,8.2,0,0.7094
1.95,37.5703,14,0.7087,0.0847,0.8936,138.1606,38.4511,158.328,1460.8333,0.504,15.5509,45.5166791,10.00547814,4853.2373,8.2,0,0.7224
2,37.7866,14,0.6932,0.0976,0.9821,140.3334,37.5289,158.4007,1455,0.504,16.0248,45.516675,10.00548216,4895.2002,8.2,0,0.7132
2.05,38.0016,14,0.671,0.107,1.0635,142.5669,36.2208,158.4689,1449.1667,0.504,16.698,45.51667082,10.00548602,4911.8335,8.2,0,0.6953
2.1,38.1431,14,0.6594,0.115,1.0269,144.3083,35.4653,158.5004,1445.0001,0.504,17.1172,45.51666657,10.00548965,4922.8667,8.2,0,0.664
